[2026-04-16T04:29:00.327Z] GET http://localhost:5173/src/components/MessagePage.module.scss → 200 (18ms, 60071B)
[2026-04-16T04:29:00.327Z] GET http://localhost:5173/src/components/UserSettingsPage.module.scss → 200 (18ms, 21859B)
[2026-04-16T04:29:00.327Z] GET http://localhost:5173/src/components/NewsPage.module.scss → 200 (18ms, 54581B)
[2026-04-16T04:29:00.327Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-QZC7O2C6.js?v=1b9989ba → 200 (?ms, 12710B)
[2026-04-16T04:29:00.327Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-ZDBJOGHJ.js?v=1b9989ba → 200 (?ms, 118332B)
[2026-04-16T04:29:01.248Z] GET http://localhost:5173/fonts/material-symbols-outlined.woff2 → 200 (218ms, 3363900B)
[2026-04-16T04:29:15.862Z] GET http://localhost:5173/yutang → 200 (5ms, 798B)
[2026-04-16T04:29:15.882Z] GET http://localhost:5173/@vite/client → 200 (7ms, 137703B)
[2026-04-16T04:29:15.882Z] GET http://localhost:5173/fonts/material-symbols-outlined.woff2 → 200 (246ms, ?B)
[2026-04-16T04:29:15.882Z] GET http://localhost:5173/src/main.tsx → 200 (2ms, 2156B)
[2026-04-16T04:29:15.882Z] GET http://localhost:5173/@react-refresh → 200 (7ms, 117548B)
[2026-04-16T04:29:15.884Z] GET http://localhost:5173/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=1b9989ba → 200 (?ms, 37035B)
[2026-04-16T04:29:15.885Z] GET http://localhost:5173/node_modules/.vite/deps/react.js?v=1b9989ba → 200 (1ms, 219B)
[2026-04-16T04:29:15.888Z] GET http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=1b9989ba → 200 (?ms, 1118B)
[2026-04-16T04:29:15.888Z] GET http://localhost:5173/src/App.tsx → 200 (21ms, 149860B)
[2026-04-16T04:29:15.888Z] GET http://localhost:5173/src/index.css → 200 (20ms, 59826B)
[2026-04-16T04:29:15.888Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-DRWLMN53.js?v=1b9989ba → 200 (?ms, 77818B)
[2026-04-16T04:29:15.889Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-G3PMV62Z.js?v=1b9989ba → 200 (?ms, 1540B)
[2026-04-16T04:29:15.889Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-PJEEZAML.js?v=1b9989ba → 200 (?ms, 928095B)
[2026-04-16T04:29:15.889Z] GET http://localhost:5173/node_modules/vite/dist/client/env.mjs → 200 (14ms, 4021B)
[2026-04-16T04:29:15.924Z] GET http://localhost:5173/src/components/Login.tsx → 200 (13ms, 53818B)
[2026-04-16T04:29:15.924Z] GET http://localhost:5173/src/components/TopNavbar.tsx → 200 (176ms, 151494B)
[2026-04-16T04:29:15.924Z] GET http://localhost:5173/src/components/EventsPage.tsx → 200 (190ms, ?B)
[2026-04-16T04:29:15.925Z] GET http://localhost:5173/src/components/EventmanagePage.tsx → 200 (173ms, 50741B)
[2026-04-16T04:29:15.925Z] GET http://localhost:5173/src/components/EventChainPage.tsx → 200 (198ms, ?B)
[2026-04-16T04:29:15.925Z] GET http://localhost:5173/src/components/TaskDetailPage.tsx → 200 (178ms, ?B)
[2026-04-16T04:29:15.925Z] GET http://localhost:5173/src/components/TaskExecutionPage.tsx → 200 (176ms, 36882B)
[2026-04-16T04:29:15.925Z] GET http://localhost:5173/src/components/TaskReviewPage.tsx → 200 (176ms, 42674B)
[2026-04-16T04:29:15.925Z] GET http://localhost:5173/src/components/TaskListPage.tsx → 200 (176ms, 71583B)
[2026-04-16T04:29:15.925Z] GET http://localhost:5173/src/components/DataListPage.tsx → 200 (176ms, 65430B)
[2026-04-16T04:29:15.925Z] GET http://localhost:5173/src/components/DataPage.tsx → 200 (178ms, ?B)
[2026-04-16T04:29:15.925Z] GET http://localhost:5173/src/components/DataChainPage.tsx → 200 (176ms, 36046B)
[2026-04-16T04:29:15.925Z] GET http://localhost:5173/src/components/DataChainDetailPage.tsx → 200 (193ms, ?B)
[2026-04-16T04:29:15.925Z] GET http://localhost:5173/src/components/DataReviewPage.tsx → 200 (177ms, 45080B)
[2026-04-16T04:29:15.925Z] GET http://localhost:5173/src/components/EventDataDetailPage.tsx → 200 (180ms, ?B)
[2026-04-16T04:29:15.925Z] GET http://localhost:5173/src/components/HomePage.tsx → 200 (178ms, ?B)
[2026-04-16T04:29:15.925Z] GET http://localhost:5173/src/components/AdminPage.tsx → 200 (183ms, ?B)
[2026-04-16T04:29:15.925Z] GET http://localhost:5173/src/components/ProfilePage.tsx → 200 (180ms, ?B)
